Exam Schedule
Day 1 Slot 1,"HU213, HU100, CSW241, INT343, INT489, INT435"
Day 1 Slot 2,"CSW232, INT433, ISD220"

Day 2 Slot 1,CSW121
Day 2 Slot 2,MA111

Day 3 Slot 1,"HU111, INT437, INT453 "
Day 3 Slot 2,MA110

Day 4 Slot 1,
Day 4 Slot 2,

Day 5 Slot 1,"ISD100, INT461, CSW351, MA212, INT338"
Day 5 Slot 2,ST120

Day 6 Slot 1,
Day 6 Slot 2,

Day 7 Slot 1,"CSW338, CSW225, ENGF2"
Day 7 Slot 2,

Day 8 Slot 1,
Day 8 Slot 2,

Day 9 Slot 1,"INT353, HU230, INT423 , INT434"
Day 9 Slot 2,

Day 10 Slot 1,
Day 10 Slot 2,

Day 11 Slot 1,"HU194, INT351, CSW325, INT422"
Day 11 Slot 2,

Day 12 Slot 1,
Day 12 Slot 2,

